Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous,Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant URL,QR Codes
21,California Aster,Corethrogyne filaginifolia,Perennial herb,0.7 - 3.3 ft(0.21 - 1 m),1 - 6 ft (0.3 - 1.8 m),Fast,Evergreen,"Pink,Purple,White","Summer,Fall,Winter","Full Sun,Part Shade",Tolerant of sand and clay,"Fast,Medium,Slow",Very Low,Moderately Easy,"Max 1x / week once established,Never irrigate once established","Groundcovers,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//legacy.calscape.org/Corethrogyne-filaginifolia-(),//legacy.calscape.org/qrcodes/Corethrogyne-filaginifolia(192)
22,Toyon,Heteromeles arbutifolia,Shrub,6 - 30 ft(1.8 - 9.1 m),10 - 15 ft (3.0 - 4.6 m),"Fast,Moderate",Evergreen,White,Summer,"Full Sun,Part Shade",Tolerant of a variety of soils,"Fast,Medium,Slow","Extremely Low,Very Low",Very Easy,"Max 2x / month once established,Never irrigate once established","Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Heteromeles-arbutifolia-(),//legacy.calscape.org/qrcodes/Heteromeles-arbutifolia(192)
23,Little Sur Manzanita,Arctostaphylos edmundsii,Shrub,0.25 - 4 ft(0.08 - 1.2 m),3 - 12 ft (0.9 - 3.7 m),Fast,Evergreen,"Pink,White,Red","Winter,Spring","Part Shade,Full Sun",Normally prefers sandy soil but tolerates clay,"Fast,Medium,Slow",Very Low,Very Easy,Max 2x / month once established,"Bank Stabilization,Groundcovers,Bird Gardens,Deer Resistant,Hummingbird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Arctostaphylos-edmundsii-(),//legacy.calscape.org/qrcodes/Arctostaphylos-edmundsii(192)
24,Blue Oak,Quercus douglasii,Tree,16 - 82 ft(4.9 - 25 m),30 ft (9.1 m),Slow,"Summer Semi-Deciduous,Winter Deciduous","Yellow,Cream,Green","Spring,Winter","Full Sun, Part Shade",Tolerant of a variety of soils as long as adequate drainage is provided,Fast,Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Quercus-douglasii-(),//legacy.calscape.org/qrcodes/Quercus-douglasii(192)
25,Western Columbine,Aquilegia formosa,Perennial herb,1.5 - 3 ft(0.46 - 0.9 m),1 ft (0.3 m),Fast,"Winter Deciduous,Evergreen","Red,Yellow",Spring,"Full Sun, Part Shade, Full Shade",Woodland soil with organic material and good drainage,Medium,"Low,Moderate - High",Very Easy,Max 1x / month once established,"Bird Gardens,Deer Resistant",Commonly Available,//legacy.calscape.org/Aquilegia-formosa-(),//legacy.calscape.org/qrcodes/Aquilegia-formosa(192)
26,Black Oak,Quercus kelloggii,Tree,20 - 120 ft(6.1 - 36.6 m),35 ft (10.7 m),"Moderate,Slow",Winter Deciduous,"Yellow,Cream,Green","Spring,Winter","Full Sun, Part Shade, Full Shade",Occurs in many soil types. Prefers acidic soil.,Medium,Low,Very Easy,Max 2x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Quercus-kelloggii-(),//legacy.calscape.org/qrcodes/Quercus-kelloggii(192)
27,Creek Dogwood,Cornus sericea ssp. sericea,Shrub,4 - 15 ft(1.2 - 4.6 m),12 ft (3.7 m),Moderate,Winter Deciduous,"White,Red",Spring,Part Shade,Tolerates clay soil,"Medium,Slow",Moderate - High,,Max 1x / month once established,"Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Cornus-sericea-ssp.-sericea-(),//legacy.calscape.org/qrcodes/Cornus-sericea-ssp.-sericea(192)
28,Channel Islands Tree Poppy,Dendromecon harfordii,Shrub,3.5 - 20 ft(1.1 - 6.1 m),8 ft (2.4 m),Fast,Evergreen,Yellow,"Spring,Summer,Fall","Part Shade,Full Sun",Tolerates sandy or clay soils,"Fast,Medium,Slow",Very Low,Moderately Easy,Max 1x / month once established,Hedges,Sometimes Available,//legacy.calscape.org/Dendromecon-harfordii-(),//legacy.calscape.org/qrcodes/Dendromecon-harfordii(192)
29,Western Sycamore,Platanus racemosa,Tree,20 - 115 ft(6.1 - 35.1 m),50 ft (15.2 m),"Fast,Slow",Winter Deciduous,"Yellow,Cream,Orange,Brown","Spring,Winter",Full Sun,Tolerates sand and clay,"Fast,Medium,Slow",Moderate - High,Very Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Platanus-racemosa-(),//legacy.calscape.org/qrcodes/Platanus-racemosa(192)
30,Hooker's Manzanita,Arctostaphylos hookeri,Shrub,1 - 6 ft(0.3 - 1.8 m),6 ft (1.8 m),Moderate,Evergreen,"Pink,White,Red","Winter,Spring","Full Sun, Part Shade",Can tolerate a little clay but does best in heavy loam or sandy loam that is slightly acidic,"Fast,Medium","Very Low,Low",,Max 2x / month once established,"Groundcovers,Hedges,Deer Resistant,Bird Gardens,Hummingbird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Arctostaphylos-hookeri-(),//legacy.calscape.org/qrcodes/Arctostaphylos-hookeri(192)
31,San Diego Ceanothus,Ceanothus cyaneus,Shrub,8 - 16.4 ft(2.4 - 5 m),12 ft (3.7 m),Fast,Evergreen,"Blue,Purple","Winter,Spring","Full Sun,Part Shade",Tolerates clay soil but does best in well drained decomposed granite,Fast,Low,Moderately Easy,Never irrigate once established,"Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ceanothus-cyaneus-(),//legacy.calscape.org/qrcodes/Ceanothus-cyaneus(192)
32,Summer Holly,Comarostaphylis diversifolia,Shrub,10 - 20 ft(3 - 6.1 m),3 - 15 ft (0.9 - 4.6 m),Slow,Evergreen,"Cream,Pink,White","Spring,Summer",Part Shade,"This subspecies prefers eroded sandstone soils of marine deposits that are typical of coastal San Diego County. The preceding is not accurate. This plant is not a subspecies, and it is widespread in Southern California, not just in San Diego County.","Fast,Medium","Very Low,Low",Moderately Easy,Max 1x / month once established,"Bank Stabilization,Hummingbird Gardens,Deer Resistant,Bird Gardens",Commonly Available,//legacy.calscape.org/Comarostaphylis-diversifolia-(),//legacy.calscape.org/qrcodes/Comarostaphylis-diversifolia(192)
33,Catalina Cherry,Prunus ilicifolia ssp. lyonii,"Tree,Shrub",25 - 40 ft(7.6 - 12.2 m),20 ft (6.1 m),"Fast,Moderate",Evergreen,"White,Cream","Spring,Winter","Full Sun, Part Shade",Tolerates a variety of soils,"Fast,Medium,Slow",Very Low,Moderately Easy,Max 2x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Prunus-ilicifolia-ssp.-lyonii-(),//legacy.calscape.org/qrcodes/Prunus-ilicifolia-ssp.-lyonii(192)
34,Island Snapdragon,Gambelia speciosa,Shrub,1 - 3.3 ft(0.3 - 1 m),10 ft (3.0 m),Fast,Evergreen,Red,"Winter,Spring","Full Sun,Part Shade",Tolerates a variety of soils,"Fast,Medium,Slow",Very Low,Very Easy,Max 2x / month once established,"Hummingbird Gardens,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Gambelia-speciosa-(),//legacy.calscape.org/qrcodes/Gambelia-speciosa(192)
35,Blue Elderberry,Sambucus mexicana,"Shrub,Tree",20 - 30 ft(6.1 - 9.1 m),20 - 30 ft (6 . 1 - 9 . 1 m),Fast,Winter Deciduous,"Cream,Yellow,Purple","Spring,Summer","Full Shade, Part Shade, Full Sun",Tolerates a variety of soils but prefers well-drained soils with moisture,"Fast,Medium",Low,,Max 1x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Sambucus-mexicana-(),//legacy.calscape.org/qrcodes/Sambucus-mexicana(192)
36,Engelmann Oak,Quercus engelmannii,Tree,32.8 - 65.6 ft(10 - 20 m),90 ft (27.4 m),Moderate,"Evergreen,Summer Semi-Deciduous","Cream,Green","Winter,Spring","Full Sun, Part Shade",Tolerates a variety of soils including deep loamy-clay soils and shallow rocky soils,"Fast,Medium,Slow",Low,Very Easy,Max 2x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//legacy.calscape.org/Quercus-engelmannii-(),//legacy.calscape.org/qrcodes/Quercus-engelmannii(192)
37,Sugar Bush,Rhus ovata,Shrub,6.6 - 32.8 ft(2 - 10 m),30 ft (9.1 m),"Fast,Moderate",Evergreen,"White,Pink","Spring,Winter","Full Sun,Part Shade",Tolerates a variety of soils,"Fast,Medium",Very Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens",Commonly Available,//legacy.calscape.org/Rhus-ovata-(),//legacy.calscape.org/qrcodes/Rhus-ovata(192)
38,Bush Anemone,Carpenteria californica,Shrub,6 - 10 ft(1.8 - 3 m),10 ft (3.0 m),Moderate,Evergreen,"White,Yellow","Spring,Summer","Full Sun, Part Shade",Tolerates a variety of soils but prefers faster-draining soils such as decomposed granite,Medium,"Low,Moderate - High,",Very Easy,Max 3x / month once established,"Hedges,Deer Resistant,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Carpenteria-californica-(),//legacy.calscape.org/qrcodes/Carpenteria-californica(192)
39,Hoaryleaf Ceanothus,Ceanothus crassifolius,Shrub,5 - 14 ft(1.5 - 4.3 m),5 - 10 ft (2-3 m),Slow,Evergreen,White,"Winter,Spring","Full Sun,Part Shade","Prefers granular, well drained soil such as decomposed granite",Fast,Very Low,,Max 2x / month once established,"Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//legacy.calscape.org/Ceanothus-crassifolius-(),//legacy.calscape.org/qrcodes/Ceanothus-crassifolius(192)
40,Conejo Buckwheat,Eriogonum crocatum,Perennial herb,0.6 - 3 ft(0.18 - 0.9 m),1.6 - 3 ft (0.5 - 0.9 m),Moderate,Evergreen,"Yellow,Green","Spring,Summer",Full Sun,"Generally rocky with clay, but tolerates other soils","Medium,Slow","Extremely Low,Very Low",Very Easy,Max 3x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Eriogonum-crocatum-(),//legacy.calscape.org/qrcodes/Eriogonum-crocatum(192)
41,White Sage,Salvia apiana,Shrub,3 - 5 ft(0.9 - 1.5 m),3 - 8 ft (0.9 - 2.4 m),"Fast,Moderate",Summer Semi-Deciduous,White,"Winter,Spring,Summer",Full Sun,Adaptable to a variety of soil types,"Fast,Medium","Extremely Low,Very Low",Very Easy,Max 1x / month once established,"Bank Stabilization,Groundcovers,Hedges,Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Salvia-apiana-(),//legacy.calscape.org/qrcodes/Salvia-apiana(192)
42,Kinnikinnick,Arctostaphylos uva-ursi,Shrub,1.6,10 ft (3.0 m),"Fast,Moderate",Evergreen,"Purple,Pink,White","Spring,Winter","Part Shade,Full Sun",Tolerates a variety of soils but prefers sandy loam,"Fast,Medium",Very Low,Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Bird Gardens,Hummingbird Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Arctostaphylos-uva-ursi-(),//legacy.calscape.org/qrcodes/Arctostaphylos-uva-ursi(192)
43,Desert Lavender,Condea emoryi,Shrub,6 - 12 ft(1.8 - 3.7 m),8 ft (2.4 m),Moderate,Summer Semi-Deciduous,"Blue,Lavender","Winter,Spring",Full Sun,Prefers sandy or decomposed granite soil,Fast,Low,Moderately Easy,Max 1x / month once established,"Hedges,Deer Resistant",Commonly Available,//legacy.calscape.org/Condea-emoryi-(),//legacy.calscape.org/qrcodes/Condea-emoryi(192)
44,Lemonade Berry,Rhus integrifolia,Shrub,3 - 30 ft(0.9 - 9.1 m),3 - 20 ft (0.9 - 6.1 m),"Fast,Moderate",Evergreen,"Pink,White","Winter,Spring","Part Shade,Full Sun",Many soil types,"Fast,Medium,Slow","Extremely Low,Very Low",Very Easy,Max 2x / month once established,"Bank Stabilization,Bird Gardens,Deer Resistant,Hedges",Commonly Available,//legacy.calscape.org/Rhus-integrifolia-(),//legacy.calscape.org/qrcodes/Rhus-integrifolia(192)
45,Royal Penstemon,Penstemon speciosus,Perennial herb,2 - 2.5 ft(0.6 - 0.8 m),2 ft (0.6 m),"Fast,Moderate",,"Blue,Lavender,Purple","Summer,Spring","Full Sun, Part Shade",Tolerant of a variety of soils as long as adequate drainage is provided,Fast,Very Low,Moderately Easy,Max 2x / month once established,"Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Penstemon-speciosus-(),//legacy.calscape.org/qrcodes/Penstemon-speciosus(192)
46,Woolly Bluecurls,Trichostema lanatum,Shrub,5 ft(1.5 m),10 ft (3.0 m),Fast,Evergreen,"Blue,Lavender,Pink","Fall,Winter,Spring","Part Shade,Full Sun",Often but not always found on eroded gabbro or sandstone soils,Fast,"Very Low,Low",Moderately Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Trichostema-lanatum-(),//legacy.calscape.org/qrcodes/Trichostema-lanatum(192)
47,Hearst's Ceanothus,Ceanothus hearstiorum,Shrub,0.2 - 1 ft(0.06 - 0.3 m),8 ft (2.4 m),Moderate,Evergreen,"Blue,Lavender","Winter,Spring",Full Sun,"Tolerates sandy/rocky, clay or adobe soils but not pure beach sand","Fast,Medium,Slow",Very Low,Very Easy,Max 2x / month once established,"Bank Stabilization,Groundcovers,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ceanothus-hearstiorum-(),//legacy.calscape.org/qrcodes/Ceanothus-hearstiorum(192)
48,Foothill Penstemon,Penstemon heterophyllus,Perennial herb,3.3 - 5 ft(1 - 1.5 m),5 ft (1.5 m),Fast,Evergreen,"Blue,Lavender,Purple","Winter,Spring,Summer","Full Sun, Part Shade",Tolerant of a variety of soils as long as drainage is good,"Fast,Medium,Slow",Very Low,Very Easy,Max 3x / month once established,"Groundcovers,Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Penstemon-heterophyllus-(),//legacy.calscape.org/qrcodes/Penstemon-heterophyllus(192)
49,Golden Currant,Ribes aureum,Shrub,3 - 10 ft (0.9 - 3.0 m),3 - 10 ft (0.9 - 3.0 m),"Fast,Moderate",Winter Deciduous,"Cream,Red,Yellow","Spring,Winter","Full Sun,Part Shade",Tolerates a variety of soils,"Medium,Slow","Low,Moderate - High",Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//legacy.calscape.org/Ribes-aureum-(),//legacy.calscape.org/qrcodes/Ribes-aureum(192)
50,Sierra Redwood,Sequoiadendron giganteum,Tree,35 - 311 ft(10.7 - 94.8 m),50 - 60 ft (15.2 - 18.3 m),Slow,Evergreen,"Green,Cream",Spring,Full Sun,"Prefers deep, rich soil","Slow,Medium",Low,Very Easy,Max 2x / month once established,Deer Resistant,Commonly Available,//legacy.calscape.org/Sequoiadendron-giganteum-(),//legacy.calscape.org/qrcodes/Sequoiadendron-giganteum(192)
51,California Wax Myrtle,Morella californica,Shrub,6 - 33 ft(1.8 - 10.1 m),20 ft (6.1 m),"Fast,Moderate",Evergreen,Yellow,Summer,"Part Shade,Full Sun",Tolerates a variety of soils,Medium,"Low,Moderate - High",Very Easy,Max 1x / week once established,"Bank Stabilization,Hedges,Deer Resistant",,//legacy.calscape.org/Morella-californica-(),//legacy.calscape.org/qrcodes/Morella-californica(192)
52,San Diego Mountain Mahogany,Cercocarpus minutiflorus,Shrub,6.5 - 16 ft(2 - 4.9 m),10 ft (3.0 m),"Fast,Moderate",Evergreen,"Cream,White,Yellow,Green","Winter,Spring","Full Sun,Part Shade",Tolerates a variety of soils including clay,"Fast,Medium,Slow",Low,Moderately Easy,Max 2x / month once established,"Hedges,Bank Stabilization,Bird Gardens",Commonly Available,//legacy.calscape.org/Cercocarpus-minutiflorus-(),//legacy.calscape.org/qrcodes/Cercocarpus-minutiflorus(192)
